,Landmark Name,Category,Province & District,GPS Coordinates,Description,History,Built By / Founder,Year Built / Historical Period,Cultural/Religious Significance,Main Attractions,Opening Hours,Average Visit Duration:,Ticket Price (Foreign),Best Time to Visit,Nearby Attractions,Nearby Hotels,Nearby Restaurants, 
87,"Dutch Fort, Negombo",Fort,Western Province – Gampaha District,"7.2083° N, 79.8367° E","Dutch Fort Negombo is a historic colonial fort located near the lagoon and coastline. Although only parts of the original structure remain, it represents the town’s colonial past.","The original fort was built by the Portuguese in the 17th century and captured by the Dutch in 1640. The Dutch rebuilt and expanded it as part of their coastal defence network, but much of it was later demolished during British rule for construction purposes.",Portuguese built; Dutch expanded,17th century,Colonial fort representing European maritime history in Negombo.,"Fort ruins, coastal views, old walls, nearby fishing area.",Open access,30–60 minutes,Free,November–April; evening,"Negombo Beach, St. Mary’s Church, Muthurajawela, Fish Market, Angurukaramulla Temple","Jetwing Blue, Heritance Negombo, Jetwing Beach, Goldi Sands, Sentido Heritance","Lords Restaurant, Sea Joy, King Coconut, The Lagoon, Dolce Vita", 
88,Muthurajawela Marsh,Wetland,Western Province – Gampaha District,"7.0667° N, 79.8500° E","Muthurajawela Marsh is one of Sri Lanka’s most important coastal wetlands, known for mangroves, birds, reptiles, and boat tours. It is a valuable ecosystem located near Negombo.",Muthurajawela has been a wetland ecosystem for centuries and historically supported agriculture and fishing communities. It was declared a sanctuary in 1996 to protect its biodiversity and conserve one of the island’s largest coastal marsh habitats.,Natural wetland ecosystem,Ancient natural formation,Important coastal wetland supporting biodiversity and traditional livelihoods.,"Boat tours, mangroves, birds, reptiles, wildlife photography.",7:00 AM – 5:00 PM,2–3 hours,Approx. USD 10–20 (boat tour),November–April; morning,"Negombo Beach, Dutch Fort, St. Mary’s Church, Fish Market, Colombo","Jetwing Blue, Heritance Negombo, Jetwing Beach, Goldi Sands, Sentido Heritance","Lords Restaurant, Sea Joy, King Coconut, The Lagoon, Dolce Vita", 
89,"St. Mary's Church, Negombo",Church,Western Province – Gampaha District,"7.2086° N, 79.8358° E","St. Mary’s Church is one of Sri Lanka’s largest Catholic churches, famous for its impressive architecture, religious artwork, and ceiling paintings. It reflects Negombo’s strong Catholic heritage.","Construction of the present church began in 1874 and was completed in 1922 during the British colonial period. It represents the long-standing influence of Catholicism in Negombo, which was introduced during Portuguese rule in the 16th century.",Built by Portuguese/Catholic community; expanded under colonial influence,19th century (current structure),One of Sri Lanka’s largest Catholic churches and an important religious landmark.,"Ceiling paintings, statues, architecture, religious festivals.",6:00 AM – 6:00 PM,30–60 minutes,Free,Year-round; morning,"Dutch Fort, Negombo Beach, Muthurajawela, Fish Market, Angurukaramulla Temple","Jetwing Blue, Heritance Negombo, Jetwing Beach, Goldi Sands, Sentido Heritance","Lords Restaurant, Sea Joy, King Coconut, The Lagoon, Dolce Vita", 
90,Pinnawala Elephant Orphanage,Wildlife Sanctuary,Sabaragamuwa Province – Kegalle District,"7.3000° N, 80.3833° E","Pinnawala Elephant Orphanage is a famous elephant conservation centre where visitors can observe rescued elephants, feeding sessions, and bathing activities. It is one of Sri Lanka’s most popular wildlife attractions.",The orphanage was established in 1975 by the Department of Wildlife Conservation to care for abandoned and injured elephants. It was later transferred to the Department of National Zoological Gardens and became an important elephant conservation and breeding facility.,Established by Sri Lankan Department of Wildlife Conservation,Founded in 1975,Conservation center for orphaned and injured elephants; major wildlife attraction.,"Elephant bathing, feeding sessions, elephant care, river views.",8:30 AM – 5:30 PM,2–3 hours,Approx. USD 20–25,January–April; morning feeding/bathing times,"Millennium Elephant Foundation, Kandy, Peradeniya Gardens, Ambuluwawa, Mawanella","Hotel Elephant Park, Cafe Pinnalanda Hotel, Elephant Bay Hotel, Maoya Retreat, The Grand Royal Hotel","Cafe Pinnalanda, Elephant View Restaurant, Hotel Elephant Park Restaurant, Avenra Garden Restaurant, Perera & Sons", 
91,Millennium Elephant Foundation,Wildlife Sanctuary,Sabaragamuwa Province – Kegalle District,"7.2820° N, 80.3830° E","Millennium Elephant Foundation is an elephant conservation and education centre near Pinnawala where visitors can learn about Asian elephants and their care. It focuses on responsible elephant welfare, rehabilitation, and awareness programs.",The foundation was established in 1999 on a private estate to provide care for captive elephants and promote ethical elephant tourism. It works with rescued and retired elephants while educating visitors about elephant conservation.,Founded by the Samarasinghe family,Established in 1999,Elephant conservation and welfare center focused on responsible elephant care.,"Elephant feeding, educational programs, walking with elephants, museum, conservation activities.",8:30 AM – 5:00 PM,2–3 hours,Approx. USD 20–30,January–April; morning,"Pinnawala Elephant Orphanage, Kandy, Peradeniya Gardens, Ambuluwawa Tower, Gadaladeniya Temple","Elephant Bay Hotel, Hotel Elephant Park, Maoya Retreat, The Grand Royal Hotel, Earl’s Regency Kandy","Cafe Pinnalanda, Elephant View Restaurant, Perera & Sons, Balaji Dosai, Senani Restaurant", 
92,Udawalawe National Park,National Park,Sabaragamuwa Province – Ratnapura District,"6.4750° N, 80.8880° E","Udawalawe National Park is one of Sri Lanka’s best wildlife parks, famous for large elephant populations, water buffalo, deer, crocodiles, and birds. It is especially popular for elephant safaris.",The park was established in 1972 to protect wildlife displaced by the construction of the Udawalawe Reservoir. It covers dry-zone forests and grasslands and has become one of Sri Lanka’s most successful elephant conservation areas.,Sri Lankan government,Established in 1972,Major wildlife reserve created to protect animals displaced by the Udawalawe Reservoir project.,"Elephant safaris, birds, deer, crocodiles, wildlife photography.",6:00 AM – 6:00 PM,Half day safari,Approx. USD 25–35 + jeep fees,May–September; morning (6:00–10:00 AM),"Udawalawe Reservoir, Elephant Transit Home, Bambarakanda Falls, Diyaluma Falls, Ratnapura","Grand Udawalawe Safari Resort, Athgira River Camping, Kalu’s Hideaway, Elephant Trail, Silent Bungalow","Athgira Restaurant, Wildlife Safari Restaurant, Ice Burge Restaurant, Green Park Restaurant, The Garlic Restaurant", 
93,Udawalawe Reservoir,Reservoir,Sabaragamuwa Province – Ratnapura District,"6.4780° N, 80.8930° E","Udawalawe Reservoir is a large man-made lake surrounded by scenic landscapes and wildlife habitats. It supports agriculture, local communities, and animals in the nearby national park.",The reservoir was created as part of the Walawe River development project in the 1960s and 1970s. It was built to provide irrigation water and support agricultural development in the southern dry zone.,Built by Sri Lankan government,Completed in 1969,Important irrigation project supporting agriculture and wildlife habitats.,"Scenic lake views, bird watching, boat views, sunset scenery.",Open access,1–2 hours,Free,May–September; sunset,"Udawalawe National Park, Elephant Transit Home, Ratnapura, Diyaluma Falls, Bambarakanda Falls","Grand Udawalawe Safari Resort, Athgira River Camping, Kalu’s Hideaway, Elephant Trail, Silent Bungalow","Athgira Restaurant, Wildlife Safari Restaurant, Ice Burge Restaurant, Green Park Restaurant, The Garlic Restaurant", 
94,Sinharaja Forest Reserve,Rainforest,Sabaragamuwa Province – Ratnapura District,"6.4000° N, 80.5000° E","Sinharaja Forest Reserve is Sri Lanka’s last major tropical rainforest and a UNESCO World Heritage Site. It is famous for endemic plants, birds, insects, and rich biodiversity.",Sinharaja has existed as a protected forest for centuries and was declared a forest reserve in 1875 during the colonial period. It became a UNESCO World Heritage Site in 1988 due to its exceptional biological importance and high number of endemic species.,Protected by Sri Lankan government,Protected since 1875; UNESCO World Heritage Site since 1988,Sri Lanka’s last major tropical rainforest and biodiversity hotspot.,"Rainforest trekking, endemic birds, waterfalls, wildlife, nature trails.",6:00 AM – 6:00 PM,4–6 hours,Approx. USD 10–20 + guide fees,January–April and July–September; morning,"Deniyaya, Kudawa, Maduwanwela Walawwa, Udawalawe, Ratnapura","Sinharaja Forest Edge, Rainforest Eco Lodge, Blue Magpie Lodge, Lavenro Hotel, Boulder Garden Hotel","Forest Edge Restaurant, Sinharaja Rest Restaurant, Eco Villa Restaurant, Lakmini Restaurant, Deniyaya Food Center", 
95,Knuckles Mountain Range,Mountain Range,Central Province – Matale District,"7.4500° N, 80.8000° E","Knuckles Mountain Range is a spectacular mountain wilderness area known for hiking trails, cloud forests, waterfalls, and traditional villages. It is a UNESCO World Heritage Site with outstanding natural beauty.",The Knuckles region has been protected for its unique biodiversity and cultural landscapes. It became part of the Central Highlands UNESCO World Heritage Site in 2010 and has long been valued by local communities for farming and traditional lifestyles.,Natural mountain ecosystem,Geological formation millions of years old,UNESCO World Heritage mountain region with unique biodiversity and cultural landscapes.,"Hiking, waterfalls, villages, viewpoints, cloud forests.",Open access (guide recommended),Full day–multi-day,Approx. USD 10–15 (permits may apply),January–April; morning starts,"Riverston, Sembuwatta Lake, Kandy, Wasgamuwa National Park, Matale","Simpson’s Forest Hotel, The Grand Mountain Hotel, Madulkelle Tea & Eco Lodge, Elkaduwa Rest House, The Riverston Grand","Cafe Aroma Inn, Slightly Chilled, Balaji Dosai, Riverston Restaurant, Matale Heritage Centre Restaurant", 
96,Arugam Bay,Beach,Eastern Province – Ampara District,"6.8400° N, 81.8350° E","Arugam Bay is one of the world’s most famous surfing destinations, located on Sri Lanka’s east coast. It is known for excellent waves, beaches, lagoons, and a relaxed coastal atmosphere.","Arugam Bay was historically a fishing village before developing into an international surfing destination. Tourism expanded significantly after the 1990s, and the area became a major centre for surf competitions and coastal travel.",Natural coastal area,Natural formation; developed as surf destination in modern era,Internationally recognized surfing destination and coastal tourism hub.,"Surfing, beaches, lagoons, wildlife, fishing villages.",Open access,Half day–several days,Free,May–September; morning surfing,"Pottuvil Lagoon, Kudumbigala Monastery, Muhudu Maha Viharaya, Kumana National Park, Panama Beach","Jetwing Surf, The Spice Trail, Arugam Bay Roccos, Kottukal Beach House, Blue Wave Hotel","Hideaway Resort Restaurant, Waves Restaurant, Gecko Restaurant, Arugam Bay Restaurant, Pizza Point", 
97,Nilaveli Beach,Beach,Eastern Province – Trincomalee District,"8.6917° N, 81.1895° E","Nilaveli Beach is a stunning white-sand beach near Trincomalee, known for clear waters, swimming, diving, and peaceful surroundings. It is one of Sri Lanka’s most beautiful east coast beaches.","Nilaveli has long been connected with fishing communities and the maritime history of Trincomalee. After the end of the civil conflict, tourism development increased, making it a popular international beach destination.",Natural coastal area,Natural formation,Famous east coast beach known for clear waters and marine tourism.,"Swimming, snorkeling, diving, beach relaxation, sunrise views.",Open access,Half day–full day,Free,April–September; morning,"Pigeon Island, Trincomalee, Koneswaram Temple, Marble Beach, Fort Frederick","Trinco Blu by Cinnamon, Anilana Nilaveli, Pigeon Island Beach Resort, Sea Lotus Park, Cardamon Hotel Nilaveli","Nero Kitchen, Fernando’s Bar, King’s Seafood Restaurant, Nature Inn, Nilaveli Beach Restaurant", 
98,Pigeon Island National Park,Marine National Park,Eastern Province – Trincomalee District,"8.7200° N, 81.2000° E","Pigeon Island National Park is a marine park famous for coral reefs, tropical fish, reef sharks, and crystal-clear waters. It is one of Sri Lanka’s best snorkeling and diving locations.","The island was declared a national park in 2003 to protect its coral ecosystems and marine biodiversity. It was previously used as a nesting area for rock pigeons, which gave the island its name.",Sri Lankan government,Declared marine national park in 2003,Important marine protected area preserving coral reefs and marine life.,"Snorkeling, coral gardens, reef sharks, turtles, beaches.",8:00 AM – 5:00 PM,3–5 hours,Approx. USD 15–25 + boat fees,April–September; morning,"Nilaveli Beach, Koneswaram Temple, Marble Beach, Fort Frederick, Trincomalee Harbour","Trinco Blu by Cinnamon, Anilana Nilaveli, Pigeon Island Beach Resort, Sea Lotus Park, Cardamon Hotel","Nero Kitchen, Fernando’s Bar, King’s Seafood, Nature Inn, Nilaveli Beach Restaurant", 
99,Koneswaram Temple,Hindu Temple,Eastern Province – Trincomalee District,"8.5792° N, 81.2335° E","Koneswaram Temple is an ancient Hindu temple located on Swami Rock in Trincomalee, overlooking the Indian Ocean. It is one of the most sacred Shiva temples among Hindus.",The temple has ancient origins dating back over two thousand years and is mentioned in historical Tamil sources. The original temple was destroyed by Portuguese forces in 1622 and later rebuilt by Hindu communities in the modern era.,Ancient Hindu rulers; rebuilt by Chola and later Tamil kings,Ancient origins; major rebuildings over centuries,One of Sri Lanka’s most important Hindu temples dedicated to Lord Shiva.,"Cliff-top temple, ocean views, Shiva shrine, Gokanna history, sculptures.",6:00 AM – 8:00 PM,1–2 hours,Free / Donation,April–September; morning or sunset,"Fort Frederick, Marble Beach, Nilaveli Beach, Pigeon Island, Trincomalee Harbour","Trinco Blu, Anilana Nilaveli, Welcombe Hotel, Sea Lotus Park, JKAB Beach Resort","Nero Kitchen, Anna Poorani Vegetarian Restaurant, Aqua Inn, Fernando’s Bar, Hotel Saravanabhavan", 
100,"Marble Beach, Trincomalee",Beach,Eastern Province – Trincomalee District,"8.6500° N, 81.2200° E","Marble Beach is a scenic coastal area near Trincomalee known for clear blue waters, soft sand, and peaceful surroundings. It is popular for swimming, relaxation, and photography.",The beach area was historically associated with naval activities because of Trincomalee’s strategic harbour. It later became accessible as a tourism destination due to its natural beauty and coastal development.,Sri Lanka Air Force developed beach area,Modern tourism development,Popular clean beach destination on Sri Lanka’s east coast.,"Swimming, snorkeling, coral views, sunsets, relaxation.",Open access,Half day,Free,April–September; morning/evening,"Koneswaram Temple, Fort Frederick, Nilaveli Beach, Pigeon Island, Trincomalee Harbour","Trinco Blu, Sea Lotus Park, Welcombe Hotel, JKAB Beach Resort, Anilana Nilaveli","Nero Kitchen, Aqua Inn, Fernando’s Bar, Nature Inn, Anna Poorani Restaurant", 
101,Ramboda Falls,Waterfall,Central Province – Nuwara Eliya District,"7.1458° N, 80.6733° E","Ramboda Falls is one of Sri Lanka’s most beautiful waterfalls, located among the tea-covered hills of Nuwara Eliya. It is known for its scenic surroundings and easy accessibility from the hill-country roads.",The waterfall has been part of the traditional hill-country landscape for centuries. It became widely known during the British colonial period when roads and tea plantations developed throughout the central highlands.,Natural waterfall,Geological formation,Scenic highland waterfall representing Sri Lanka’s natural beauty.,"Waterfall viewpoints, hiking, tea estates, photography.",Open access,1 hour,Free,January–April; morning,"Ramboda Tea Factory, Nuwara Eliya, Gregory Lake, Pedro Tea Estate, Hakgala Garden","Ramboda Falls Hotel, The Grand Hotel Nuwara Eliya, Heritance Tea Factory, Araliya Green Hills, Jetwing St Andrew’s","Ramboda Falls Restaurant, Grand Indian Restaurant, Salmiya Restaurant, Lake View Pub, De Silva Food Centre", 
102,Commonwealth War Cemetery (Kandy War Cemetery),War Cemetery / Historical Site / Memorial Site,Central Province – Kandy District,"7.3167° N, 80.6236° E",Kandy War Cemetery is a beautifully maintained military cemetery honouring Commonwealth soldiers who died during World War II and earlier conflicts. It is located in a peaceful garden setting near Kandy.,The cemetery was established during and after World War II to bury and commemorate Commonwealth military personnel who served in the region. It is maintained by the Commonwealth War Graves Commission as a memorial site.,Commonwealth War Graves Commission,Established after World War II,Memorial cemetery honoring Commonwealth soldiers who died during World War II.,"Landscaped cemetery, memorial stones, peaceful gardens, historical significance.",7:30 AM – 4:00 PM,30–45 minutes,Free,Year-round; morning,"Peradeniya Gardens, Temple of Tooth, Kandy Lake, Bahirawakanda Statue, Udawatta Kele","Earl’s Regency, Grand Kandyan, Cinnamon Citadel, Theva Residency, Amaya Hills","Balaji Dosai, The Empire Cafe, Cafe Secret Garden, Slightly Chilled, Senani Restaurant", 
103,Yapahuwa Rock Fortress,Rock Fortress / Historical Site,North Western Province – Kurunegala District,"7.8167° N, 80.3000° E",Yapahuwa Rock Fortress is a historic medieval capital built on a massive rock surrounded by impressive stone stairways and ruins. It is famous for its ornate entrance carvings and archaeological importance.,Yapahuwa became the capital of Sri Lanka in the 13th century under King Bhuvanekabahu I. The fortress was built to protect the Sacred Tooth Relic during a period of political instability before the capital moved to Kurunegala.,King Bhuvanekabahu I,13th century AD (1273–1284),Medieval royal capital and temporary home of the Sacred Tooth Relic.,"Stone staircase, lion entrance, palace ruins, fortress walls, museum.",8:00 AM – 5:00 PM,2–3 hours,Approx. USD 5–10,January–April; morning,"Yapahuwa Museum, Anuradhapura, Avukana Buddha, Kala Wewa, Panduwasnuwara","Yapahuwa Paradise Hotel, Ulpatha Resort, Heritage Hotel Anuradhapura, Rajarata Hotel, Avasta Resort","Yapahuwa Restaurant, Casserole Restaurant, Seedevi Restaurant, Milano Tourist Restaurant, Walkers Restaurant", 
104,Avukana Buddha Statue,Religious Site / Statue,North Central Province – Anuradhapura District,"8.0333° N, 80.5167° E",Avukana Buddha Statue is a magnificent standing Buddha statue carved from a single granite rock near Kekirawa. It is considered one of the finest examples of ancient Sri Lankan sculpture.,"The statue was created during the reign of King Dhatusena in the 5th century AD, according to historical tradition. Standing over 12 metres tall, it demonstrates the advanced artistic and engineering skills of the Anuradhapura period.",King Dhatusena (traditional attribution),5th century AD (Anuradhapura period),One of Sri Lanka’s finest ancient Buddha statues representing advanced stone carving.,"12m standing Buddha statue, ancient shrine, carvings, archaeological site.",8:00 AM – 5:00 PM,1 hour,Approx. USD 5,May–September; morning,"Kala Wewa, Anuradhapura, Mihintale, Ritigala, Aukana Village","Heritage Hotel Anuradhapura, Rajarata Hotel, Avasta Resort, The Sanctuary at Tissawewa, Miridiya Lake Resort","Seedevi Restaurant, Casserole Restaurant, Milano Restaurant, Walkers Restaurant, The Lakeside Restaurant", 
105,Aukana Kala Wewa,Reservoir / Ancient Irrigation Site,North Central Province – Anuradhapura District,"8.0333° N, 80.5000° E",Aukana Kala Wewa is an ancient reservoir located near the famous Avukana Buddha Statue. It represents the advanced irrigation technology developed by ancient Sri Lankan kingdoms.,Kala Wewa was built in the 5th century AD by King Dhatusena and was one of the largest irrigation reservoirs of ancient Sri Lanka. It played a major role in supporting agriculture and the prosperity of the Anuradhapura Kingdom.,King Dhatusena,5th century AD,Ancient irrigation reservoir linked with the construction of Avukana Buddha statue.,"Reservoir views, bird watching, scenic landscapes, ancient engineering.",Open access,1–2 hours,Free,May–September; sunrise/sunset,"Avukana Buddha, Anuradhapura, Ritigala, Mihintale, Dambulla","Heritage Hotel Anuradhapura, Rajarata Hotel, Avasta Resort, Miridiya Lake Resort, Aliya Resort","Seedevi Restaurant, Casserole Restaurant, Milano Tourist Restaurant, Walkers Restaurant, Athula Restaurant", 
106,Thanthirimale Raja Maha Viharaya,Temple / Religious Site,North Central Province – Anuradhapura District,"8.3833° N, 80.2333° E","Thanthirimale Raja Maha Viharaya is an ancient Buddhist temple complex located near Anuradhapura, famous for its rock carvings, caves, and peaceful surroundings. It is an important pilgrimage site with a history connected to the introduction of Buddhism in Sri Lanka.","According to tradition, Thanthirimale was visited by Sanghamitta Theri when she brought the sacred Bodhi tree sapling to Sri Lanka in the 3rd century BC. The site later developed into a monastery during the Anuradhapura period and contains ancient Buddha statues and inscriptions.",King Devanampiya Tissa (traditional association),3rd century BC origins; developed through Anuradhapura period,Ancient Buddhist monastery associated with early Buddhism and sacred relic traditions.,"Rock temple, Buddha statues, paintings, ancient ruins, Bodhi tree.",8:00 AM – 5:00 PM,1–2 hours,Donation / small fee,May–September; morning,"Anuradhapura, Wilpattu National Park, Mihintale, Giant’s Tank, Mannar Island","Heritage Hotel Anuradhapura, Rajarata Hotel, Avasta Resort, Miridiya Lake Resort, Four Points Mannar","Seedevi Restaurant, Casserole Restaurant, Mannar Rest House Restaurant, Milano Restaurant, Walkers Restaurant", 
107,Buduruwagala Temple,Temple / Religious Site,Uva Province – Monaragala District,"6.7500° N, 81.1000° E","Buduruwagala is an ancient rock temple near Wellawaya, famous for its massive standing Buddha statue and impressive Mahayana Buddhist sculptures carved into a rock face. It is surrounded by a peaceful forest environment.",Buduruwagala dates back to around the 9th–10th century AD during the later Anuradhapura period. The site reflects the influence of Mahayana Buddhism in Sri Lanka and contains some of the tallest ancient rock-carved Buddha figures on the island.,King Walagamba period (traditional attribution),Around 9th–10th century AD,Important Mahayana Buddhist site featuring Sri Lanka’s tallest standing Buddha carving.,"Giant Buddha statue, Bodhisattva figures, rock carvings, forest setting.",8:00 AM – 5:00 PM,1 hour,Approx. USD 3–5,January–April; morning,"Wellawaya, Diyaluma Falls, Ella, Ravana Falls, Yudaganawa Temple","EKHO Ella, 98 Acres Resort, Jetwing Kaduruketha, Mountain Heavens, Ella Flower Garden Resort","Cafe Chill, Matey Hut, AK Ristoro, Dream Cafe, One Love Restaurant", 
108,Maligawila Buddha Statue,Religious Site / Statue,Uva Province – Monaragala District,"6.8833° N, 81.2833° E",Maligawila Buddha Statue is a giant free-standing Buddha statue carved from limestone and considered one of Sri Lanka’s finest ancient sculptures. It is located near Monaragala in a historically important archaeological area.,"The statue was created during the reign of King Aggabodhi I in the 7th century AD. Standing over 14 metres tall, it represents the artistic achievements of the Anuradhapura period and was later restored by the Department of Archaeology.",King Aggabodhi I (traditional attribution),7th century AD,One of Sri Lanka’s largest free-standing ancient Buddha statues.,"14.5m Buddha statue, archaeological ruins, ancient monastery remains.",8:00 AM – 5:00 PM,1 hour,Approx. USD 3–5,January–April; morning,"Yudaganawa Temple, Kataragama, Moneragala, Buttala, Buduruwagala","Jetwing Kaduruketha, Mandara Rosen, Hotel Moneragala, Grand Udawalawe Resort, Elephant Reach","The Flavors Restaurant, Tissa Lake Restaurant, Green Hut Restaurant, local Moneragala restaurants, Chef Lady Restaurant", 
109,Dambadeniya Ancient Kingdom,Ancient City / Historical Site,North Western Province – Kurunegala District,"7.4667° N, 80.0000° E","Dambadeniya was a medieval capital of Sri Lanka known for royal ruins, temples, and archaeological remains. It played an important role after the decline of Polonnaruwa.","Dambadeniya became the capital in the 13th century under King Vijayabahu III after invasions forced the kingdom to move from Polonnaruwa. King Parakramabahu II later developed the city as a centre of administration, literature, and Buddhism.",King Vijayabahu III,13th century AD (1232–1272),Former medieval capital protecting the Sacred Tooth Relic during political conflicts.,"Palace ruins, temple, rock fortress, archaeological museum.",8:00 AM – 5:00 PM,Approx. USD 3–5,January–April; morning,"Yapahuwa, Panduwasnuwara, Kurunegala, Athugala Rock, Ridi Viharaya","Kandyan Reach Hotel, Earl’s Regency Kandy, The Grand Kandyan, Hotel Topaz, Kurunegala hotels","Saruketha Restaurant, The Hangout, Kandy restaurants, Kurunegala Food Court, local cafes",, 
110,Panduwasnuwara Kingdom,Ancient City / Archaeological Site,North Western Province – Kurunegala District,"7.7000° N, 80.0500° E","Panduwasnuwara is an ancient archaeological site containing palace ruins, monasteries, temples, and defensive structures. It provides insight into Sri Lanka’s medieval kingdoms.","Panduwasnuwara served as a temporary capital during the 12th century under King Parakramabahu I before he established Polonnaruwa as the main centre. The site contains remains from several historical periods, including monasteries and royal buildings.",King Parakramabahu II (association),12th–13th century AD,Historic medieval capital with important archaeological remains.,"Palace ruins, monastery ruins, ancient buildings, museum.",8:00 AM – 5:00 PM,Approx. USD 3–5,January–April; morning,"Dambadeniya, Yapahuwa, Athugala Rock, Kurunegala, Ridi Viharaya","Kandyan Reach Hotel, Hotel Topaz, Earl’s Regency, The Grand Kandyan, Kurunegala hotels","Saruketha Restaurant, The Hangout, local Kurunegala restaurants, Kandy restaurants, cafes",, 
111,Arankele Monastery,Monastery / Archaeological Site,North Western Province – Kurunegala District,"7.6500° N, 80.3500° E","Arankele is an ancient forest monastery famous for meditation paths, stone bathing ponds, caves, and monastic ruins. It represents the peaceful lifestyle of forest-dwelling Buddhist monks.","Arankele developed during the Anuradhapura period, especially around the 6th–8th centuries AD. It was a centre for Pansakulika monks who followed strict meditation practices and lived a simple forest-based monastic life.",Ancient Buddhist monks,6th century AD onward,Ancient forest monastery famous for meditation traditions.,"Meditation paths, ruins, stone bridges, caves, forest environment.",8:00 AM – 5:00 PM,2 hours,Approx. USD 3–5,January–April; morning,"Kurunegala, Athugala Rock, Dambadeniya, Yapahuwa, Ridi Viharaya","Kandyan Reach Hotel, Hotel Topaz, The Grand Kandyan, Earl’s Regency, Maho hotels","Saruketha Restaurant, local Kurunegala restaurants, Kandy restaurants, cafes, food courts", 
112,Ridi Viharaya,Temple / Religious Site,North Western Province – Kurunegala District,"7.7167° N, 80.4500° E","Ridi Viharaya is an ancient Buddhist temple near Kurunegala known for cave temples, murals, carvings, and religious artefacts. It is one of Sri Lanka’s important historic pilgrimage sites.","The temple was built by King Dutugemunu in the 2nd century BC after silver ore was discovered at the site, which helped fund the construction of the Ruwanwelisaya Stupa. The king established the temple to commemorate this discovery and support Buddhism.",King Dutugemunu (traditional attribution),2nd century BC,Sacred Buddhist temple associated with silver ore and ancient royal patronage.,"Cave temple, murals, Buddha statues, stone carvings, monastery ruins.",8:00 AM – 5:00 PM,Donation,January–April; morning,"Kurunegala, Arankele, Athugala Rock, Dambadeniya, Yapahuwa","Kandyan Reach Hotel, Hotel Topaz, The Grand Kandyan, Earl’s Regency, Kurunegala hotels","Saruketha Restaurant, local Kurunegala restaurants, Kandy cafes, food courts, restaurants",, 
113,Athugala Rock,Rock / Viewpoint,North Western Province – Kurunegala District,"7.4867° N, 80.3647° E","Athugala Rock is a giant elephant-shaped rock overlooking Kurunegala city, featuring a large Buddha statue and panoramic views. It is a popular viewpoint and cultural landmark.","The rock has long been associated with local legends and the history of Kurunegala, which served as a medieval capital in the 13th–14th centuries. The modern Buddha statue was built to enhance the religious significance of the location.",Natural rock formation; developed as cultural site,Ancient geological formation,Popular viewpoint and religious landmark overlooking Kurunegala.,"Buddha statue, city views, sunset viewpoint, walking trail.",6:00 AM – 7:00 PM,Free,January–April; sunset,"Kurunegala Lake, Ridi Viharaya, Dambadeniya, Arankele, Yapahuwa","Kandyan Reach Hotel, Hotel Topaz, Earl’s Regency, The Grand Kandyan, Kurunegala hotels","Saruketha Restaurant, The Hangout, local Kurunegala restaurants, cafes, food courts",, 
114,Yapahuwa Museum,Museum,North Western Province – Kurunegala District,"7.8160° N, 80.3000° E","Yapahuwa Museum displays archaeological discoveries from the Yapahuwa Rock Fortress, including ancient artefacts, sculptures, and inscriptions. It helps visitors understand the medieval history of the site.",The museum was established by the Department of Archaeology to preserve and display findings from Yapahuwa excavations. The artefacts provide evidence of the fortress’s importance as a royal capital during the 13th century.,Department of Archaeology,Established after archaeological excavations,Displays artifacts from Yapahuwa’s medieval kingdom.,"Ancient coins, sculptures, pottery, archaeological exhibits.",8:00 AM – 5:00 PM,Included/low fee with site ticket,January–April; morning,"Yapahuwa Fortress, Avukana Buddha, Kala Wewa, Anuradhapura, Panduwasnuwara","Yapahuwa Paradise Hotel, Heritage Hotel, Rajarata Hotel, Avasta Resort, Miridiya Lake Resort","Yapahuwa Restaurant, Seedevi Restaurant, Casserole Restaurant, Milano Restaurant, Walkers Restaurant",, 
115,Manavari Temple,Temple / Religious Site,North Western Province – Puttalam District,"7.4167° N, 79.8500° E","Manavari Temple is an important Hindu shrine near Chilaw, believed to be the first temple built by Lord Rama according to Ramayana traditions. It is dedicated to Lord Shiva.","According to Hindu tradition, Lord Rama installed a Shiva Lingam at Manavari after defeating King Ravana. Although the connection is based on religious belief, the temple has become an important pilgrimage site for devotees following the Ramayana trail in Sri Lanka.",King Ravana legend; developed by Hindu devotees,Considered one of the Ramayana-related Hindu pilgrimage sites.,"Shiva Lingam shrine, temple rituals, religious architecture.",6:00 AM – 6:00 PM,1 hour,Donation,January–April; morning,"Munneswaram Temple, Chilaw Beach, Anawilundawa Wetland, Negombo, St Anne’s Shrine","Anantaya Resort Chilaw, Carolina Beach Resort, Jetwing Blue, Heritance Negombo, Jetwing Beach","Sea Food Palace, The Lagoon, Lords Restaurant, local Chilaw restaurants, Dolce Vita",, 
