Route Name,Disaster/Risk Type,Severity Level,Primary Risk Factor,Month/Season of High Risk,Historical Occurrence Count,Safety Recommendation,
A4 Ratnapura (KM 108-110),Rock Fall,High,Exposed Bedrock,May-Jul (Monsoon),15,Quick transit [1],
A4 Ratnapura (KM 110-112),Landslide,Medium,Poor Drainage,May-Jul (Monsoon),13,Monitor road surface [1],
A4 Ratnapura (KM 112-114),Accident Blackspot,Medium,High Speed,Year-round,55,Strictly adhere to speed limits [1],
A4 Ratnapura (KM 114-116),Earthslip,High,Saturated Slope,May-Jul (Monsoon),24,Watch for shoulder drop-offs [1],
A4 Ratnapura (KM 116-118),Heavy Mist,Medium,Poor Visibility,May-Jul (Monsoon),65,Night travel not recommended [1],
A4 Ratnapura (KM 118-120),Accident Blackspot,High,Sharp Bend,Year-round,68,Overtaking strictly prohibited [1],
A4 Ratnapura (KM 120-122),Landslide,High,Colluvium Soil,May-Jul (Monsoon),31,High risk of washout [1],
A4 Ratnapura (KM 122-124),Earthslip,Medium,Unstable Topsoil,May-Jul (Monsoon),17,Observe for minor soil collapses [1],
A4 Ratnapura (KM 124-126),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),9,Watch for water crossflows [1],
A4 Ratnapura (KM 126-128),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),42,Slippery during monsoon [1],
A4 Ratnapura (KM 128-130),Rock Fall,High,Hanging Boulders,May-Jul (Monsoon),22,Avoid travel during torrential downpours [1],
A4 Ratnapura (KM 130-132),Landslide,High,Historical Failure,May-Jul (Monsoon),36,Marangahawela Area; highly unstable [1],
A4 Ratnapura (KM 132-134),Earthslip,High,Soil Saturation,May-Jul (Monsoon),26,Adhere to warning signs [1],
A4 Ratnapura (KM 134-136),Accident Blackspot,High,Steep Gradient,Year-round,59,Check brakes frequently [1],
A4 Ratnapura (KM 136-138),Heavy Mist,High,High Altitude,May-Jul (Monsoon),88,Use low-beam headlights [1],
A4 Ratnapura (KM 138-140),Landslide,Medium,Slope Failure,May-Jul (Monsoon),15,Bypass if heavy rain [1],
A4 Ratnapura (KM 140-142),Earthslip,Medium,Deforestation,May-Jul (Monsoon),12,Beware of mud on asphalt [1],
A4 Ratnapura (KM 142-144),Accident Blackspot,High,Sharp Bend,Year-round,71,Yield to heavy vehicles [1],
A4 Ratnapura (KM 144-146),Rock Fall,Low,Weathered Rock,May-Jul (Monsoon),8,Do not park near rock face [1],
A4 Ratnapura (KM 146-148),Landslide,High,Saturated Soil,May-Jul (Monsoon),20,Avoid in extreme weather [1],
A4 Ratnapura (KM 148-150),Earthslip,High,Colluvium Soil,May-Jul (Monsoon),29,Watch for eroded road edges [1],
A4 Ratnapura (KM 150-152),Flash Flood,Low,Seasonal Streams,May-Jul (Monsoon),6,Cross water slowly [1],
A4 Ratnapura (KM 152-154),Landslide,High,Potential Failure,May-Jul (Monsoon),34,Identified risk area; continuous transit [1],
A1 Kegalle (KM 56-58),Landslide,High,Soil Saturation,May-Jul (Monsoon),19,Rank B Risk Area [1],
A1 Kegalle (KM 58-60),Accident Blackspot,High,Mixed Traffic,Year-round,82,Ambepussa stretch; strict speed control [1],
A1 Kegalle (KM 60-62),Earthslip,Medium,Residual Soil,May-Jul (Monsoon),14,Monitor shoulder stability [1],
A1 Kegalle (KM 62-64),Accident Blackspot,High,Sharp Bend,Year-round,65,Do not overtake [1],
A1 Kegalle (KM 64-66),Landslide,Medium,Slope Erosion,May-Jul (Monsoon),12,Avoid edge driving [1],
A1 Kegalle (KM 66-68),Accident Blackspot,High,High Speed,Year-round,77,Nelundeniya zone; radar monitoring [1],
A1 Kegalle (KM 68-70),Earthslip,High,Unstable Topsoil,May-Jul (Monsoon),22,Watch for shoulder drop-offs [1],
A1 Kegalle (KM 70-72),Accident Blackspot,Medium,Pedestrian Activity,Year-round,54,Galigamuwa town area; slow down [1],
A1 Kegalle (KM 72-74),Landslide,High,Steep Gradient,May-Jul (Monsoon),26,High risk of road washout [1],
A1 Kegalle (KM 74-76),Accident Blackspot,High,Severe Congestion,Year-round,95,Kegalle town approach; extreme caution [1],
A1 Kegalle (KM 76-78),Earthslip,Medium,Poor Drainage,May-Jul (Monsoon),15,Watch for debris [1],
A1 Kegalle (KM 78-80),Accident Blackspot,High,Complex Junction,Year-round,88,Watch for vehicles entering from by-lanes [1],
A1 Kegalle (KM 80-82),Landslide,High,Historical Failure,May-Jul (Monsoon),31,Adhere to NBRO warnings [1],
A1 Kegalle (KM 82-84),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),49,Slippery when wet [1],
A1 Kegalle (KM 84-86),Earthslip,High,Saturated Slope,May-Jul (Monsoon),25,Avoid parking on soft shoulders [1],
A1 Kegalle (KM 86-88),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),7,Check for water pooling [1],
A1 Kegalle (KM 88-90),Accident Blackspot,High,High Speed,Year-round,85,Mawanella zone; watch for heavy vehicles [1],
A1 Kegalle (KM 90-92),Landslide,Medium,Deforestation,May-Jul (Monsoon),16,Observe for minor soil collapses [1],
A1 Kegalle (KM 92-94),Accident Blackspot,High,Sharp Bend,Year-round,72,Maintain lane discipline [1],
A1 Kegalle (KM 94-96),Earthslip,Medium,Colluvium Soil,May-Jul (Monsoon),13,Monitor DMC alerts [1],
A6 Habarana (KM 90-92),Elephant Crossing,High,Wildlife Corridor,Year-round,85,Do not travel at dusk/dawn [2],
A6 Habarana (KM 92-94),Elephant Crossing,High,Water Sources,Jul-Sep (Dry Season),115,Pass quickly; watch for herds [3],
A6 Habarana (KM 94-96),Accident Blackspot,Medium,High Speed,Year-round,44,Maintain safe speeds [2],
A6 Habarana (KM 96-98),Elephant Crossing,High,Proximity to Park,Year-round,130,Never feed elephants; windows rolled up [2],
A6 Habarana (KM 98-100),Elephant Crossing,Medium,Highway Blockage,Year-round,65,Keep engine running if stopped [2],
A6 Habarana (KM 100-102),Accident Blackspot,High,Night Traffic,Year-round,58,Night travel strictly not recommended [2],
A6 Habarana (KM 102-104),Elephant Crossing,High,Aggressive Behavior,Year-round,105,Do not use horn against elephants [2],
A6 Habarana (KM 104-106),Elephant Crossing,High,Wildlife Corridor,Year-round,125,Travel in convoys during daytime [2],
A6 Habarana (KM 106-108),Accident Blackspot,Medium,Unpaved Edges,Year-round,39,Avoid shoulder driving [2],
A6 Habarana (KM 108-110),Elephant Crossing,High,Water Sources,Jul-Sep (Dry Season),140,Do not carry exposed fruits or food [3],
A6 Habarana (KM 110-112),Elephant Crossing,Medium,Reserve Border,Year-round,72,Obey DWC signage [2],
A6 Habarana (KM 112-114),Accident Blackspot,High,Speeding,Year-round,66,40km/h max [2],
A6 Habarana (KM 114-116),Elephant Crossing,High,Highway Blockage,Year-round,110,Travel behind larger vehicles [2],
A6 Habarana (KM 116-118),Elephant Crossing,Medium,Aggressive Behavior,Year-round,80,Do not honk at elephants [2],
A6 Habarana (KM 118-120),Flash Flood,Low,Seasonal Streams,Oct-Jan,8,Do not cross flowing water [2],
A6 Habarana (KM 120-122),Elephant Crossing,High,Wildlife Corridor,Year-round,135,Never feed wildlife [2],
A6 Habarana (KM 122-124),Elephant Crossing,High,Proximity to Park,Year-round,95,Keep windows closed; hide food [2],
A6 Habarana (KM 124-126),Accident Blackspot,Medium,Straight Road,Year-round,48,Avoid speeding to outrun wildlife [2],
A6 Habarana (KM 126-128),Elephant Crossing,High,Highway Blockage,Year-round,122,Do not attempt to maneuver around elephants [2],
A6 Habarana (KM 128-130),Elephant Crossing,Medium,Wildlife Corridor,Year-round,68,Obey warning signs [2],
A11 Polonnaruwa (KM 0-2),Elephant Crossing,High,Wildlife Corridor,Year-round,105,Do not travel at dusk/dawn [2],
A11 Polonnaruwa (KM 2-4),Accident Blackspot,Medium,High Speed,Year-round,41,Strict adherence to speed limits [2],
A11 Polonnaruwa (KM 4-6),Elephant Crossing,High,Water Sources,Jul-Sep (Dry Season),120,Pass quickly; watch for herds [2],
A11 Polonnaruwa (KM 6-8),Elephant Crossing,Medium,Highway Blockage,Year-round,75,Keep engine running if stopped [2],
A11 Polonnaruwa (KM 8-10),Accident Blackspot,High,Night Traffic,Year-round,52,Night travel heavily restricted [2],
A11 Polonnaruwa (KM 10-12),Elephant Crossing,High,Aggressive Behavior,Year-round,135,Never feed elephants [2],
A11 Polonnaruwa (KM 12-14),Elephant Crossing,High,Proximity to Park,Year-round,110,Travel in convoys during daytime [2],
A11 Polonnaruwa (KM 14-16),Flash Flood,Low,Poor Drainage,Oct-Jan,9,Check road status after heavy rains [2],
A11 Polonnaruwa (KM 16-18),Elephant Crossing,High,Wildlife Corridor,Year-round,145,Do not use horn against elephants [2],
A11 Polonnaruwa (KM 18-20),Accident Blackspot,Medium,Straight Road,Year-round,46,Do not speed [2],
A11 Polonnaruwa (KM 20-22),Elephant Crossing,High,Highway Blockage,Year-round,125,Do not carry exposed fruits or food [2],
A11 Polonnaruwa (KM 22-24),Elephant Crossing,Medium,Reserve Border,Year-round,82,Obey DWC signage [2],
A11 Polonnaruwa (KM 24-26),Accident Blackspot,Medium,Speeding,Year-round,38,40km/h max [2],
A11 Polonnaruwa (KM 26-28),Elephant Crossing,High,Water Sources,Jul-Sep (Dry Season),115,Travel behind larger vehicles [2],
A11 Polonnaruwa (KM 28-30),Elephant Crossing,High,Aggressive Behavior,Year-round,130,Do not attempt to maneuver around elephants [2],
A12 Anuradhapura (KM 40-42),Elephant Crossing,High,Wildlife Corridor,Year-round,95,Do not travel at dusk/dawn [4],
A12 Anuradhapura (KM 42-44),Elephant Crossing,High,Water Sources,Jul-Sep (Dry Season),125,Pass quickly; watch for herds [4],
A12 Anuradhapura (KM 44-46),Accident Blackspot,Medium,High Speed,Year-round,42,Maintain safe speeds [4],
A12 Anuradhapura (KM 46-48),Flash Flood,Medium,Poor Drainage,Oct-Dec,18,Water crosses road during heavy showers [4],
A12 Anuradhapura (KM 48-50),Elephant Crossing,High,Proximity to Park,Year-round,110,Never feed elephants [4],
A12 Anuradhapura (KM 50-52),Elephant Crossing,Medium,Highway Blockage,Year-round,65,Keep engine running if stopped [4],
A12 Anuradhapura (KM 52-54),Accident Blackspot,High,Night Traffic,Year-round,55,Night travel strictly not recommended [4],
A12 Anuradhapura (KM 54-56),Elephant Crossing,High,Aggressive Behavior,Year-round,135,Do not use horn against elephants [4],
A12 Anuradhapura (KM 56-58),Flash Flood,High,River Overflow,Oct-Dec,24,Do not attempt to cross flooded dips [4],
A12 Anuradhapura (KM 58-60),Elephant Crossing,High,Wildlife Corridor,Year-round,145,Travel in convoys during daytime [4],
A12 Anuradhapura (KM 60-62),Accident Blackspot,Medium,Straight Road,Year-round,49,Avoid speeding to outrun wildlife [4],
A12 Anuradhapura (KM 62-64),Elephant Crossing,High,Water Sources,Jul-Sep (Dry Season),120,Do not carry exposed fruits or food [4],
A12 Anuradhapura (KM 64-66),Elephant Crossing,Medium,Reserve Border,Year-round,78,Obey DWC signage [4],
A12 Anuradhapura (KM 66-68),Accident Blackspot,Medium,Speeding,Year-round,44,40km/h max [4],
A12 Anuradhapura (KM 68-70),Flash Flood,Medium,Seasonal Streams,Oct-Dec,15,Cross water slowly [4],
A12 Anuradhapura (KM 70-72),Elephant Crossing,High,Highway Blockage,Year-round,130,Travel behind larger vehicles [4],
A12 Anuradhapura (KM 72-74),Elephant Crossing,High,Aggressive Behavior,Year-round,115,Do not honk at elephants [4],
A12 Anuradhapura (KM 74-76),Accident Blackspot,High,Poor Lighting,Year-round,62,Night travel not recommended [4],
A12 Anuradhapura (KM 76-78),Elephant Crossing,High,Proximity to Park,Year-round,105,Keep windows closed; hide food [4],
A12 Anuradhapura (KM 78-80),Elephant Crossing,Medium,Wildlife Corridor,Year-round,70,Obey warning signs [4],
B245 Kaduwela (KM 1-2),Flash Flood,High,River Overflow,May-Jul (Monsoon),42,Avoid during intense SW monsoon rain [5],
B245 Kaduwela (KM 2-3),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),35,Slippery when wet [5],
B245 Kaduwela (KM 3-4),Flash Flood,High,Retention Basin,May-Jul (Monsoon),55,Maha Ela basin; total submersion risk [5],
B245 Kaduwela (KM 4-5),Flash Flood,High,Poor Drainage,May-Jul (Monsoon),48,Do not attempt to cross flooded dips [5],
B245 Kaduwela (KM 5-6),Accident Blackspot,Medium,Severe Congestion,Year-round,65,Maintain lane discipline [5],
B245 Kaduwela (KM 6-7),Flash Flood,High,Low Lying Area,May-Jul (Monsoon),38,Watch for shoulder flooding [5],
B245 Kaduwela (KM 7-8),Flash Flood,Medium,Poor Drainage,May-Jul (Monsoon),22,Check for water on road [5],
B245 Kaduwela (KM 8-9),Accident Blackspot,High,Complex Junction,Year-round,72,Athurugiriya approach; slow down [5],
B245 Kaduwela (KM 9-10),Flash Flood,High,Retention Basin,May-Jul (Monsoon),51,Avoid in heavy downpours [5],
B245 Kaduwela (KM 10-11),Accident Blackspot,Medium,Pedestrian Activity,Year-round,45,Watch for crossing pedestrians [5],
A2 Colombo-Galle (KM 10-12),Accident Blackspot,High,Severe Congestion,Year-round,135,Ratmalana zone; extreme caution [6],
A2 Colombo-Galle (KM 12-14),Accident Blackspot,High,Complex Junction,Year-round,120,Follow lane markings strictly [6],
A2 Colombo-Galle (KM 14-16),Accident Blackspot,High,Pedestrian Activity,Year-round,115,Moratuwa zone; watch for cyclists [6],
A2 Colombo-Galle (KM 16-18),Flash Flood,Medium,Coastal Inundation,May-Jul (Monsoon),18,Watch for standing water [6],
A2 Colombo-Galle (KM 18-20),Accident Blackspot,High,Mixed Traffic,Year-round,105,Yield to buses [6],
A2 Colombo-Galle (KM 20-22),Accident Blackspot,High,Unregulated Access,Year-round,98,Panadura zone; watch for entering vehicles [6],
A2 Colombo-Galle (KM 22-24),Accident Blackspot,High,Speeding,Year-round,92,High density of fatal crashes [7],
A2 Colombo-Galle (KM 24-26),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),12,Do not cross flooded dips [6],
A2 Colombo-Galle (KM 26-28),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),65,Slippery during monsoon [6],
A2 Colombo-Galle (KM 28-30),Accident Blackspot,High,Complex Junction,Year-round,110,Kalutara zone; slow down [6],
A2 Colombo-Galle (KM 30-32),Accident Blackspot,High,Pedestrian Activity,Year-round,102,Watch for crossing pedestrians [6],
A2 Colombo-Galle (KM 32-34),Flash Flood,Medium,River Overflow,May-Jul (Monsoon),25,Kalu Ganga overflow risk [6],
A2 Colombo-Galle (KM 34-36),Accident Blackspot,High,Speeding,Year-round,88,Radar monitoring [6],
A2 Colombo-Galle (KM 36-38),Accident Blackspot,Medium,Mixed Traffic,Year-round,75,Beware of sudden stops by route buses [6],
A2 Colombo-Galle (KM 38-40),Accident Blackspot,High,Unregulated Access,Year-round,95,Payagala zone; extreme caution [6],
A2 Colombo-Galle (KM 40-42),Flash Flood,Low,Coastal Inundation,May-Jul (Monsoon),10,Watch for shoulder flooding [6],
A2 Colombo-Galle (KM 42-44),Accident Blackspot,High,Severe Congestion,Year-round,108,Maggona zone; maintain lane discipline [6],
A2 Colombo-Galle (KM 44-46),Accident Blackspot,High,Complex Junction,Year-round,115,Beruwala zone; yield to heavy freight [6],
A2 Colombo-Galle (KM 46-48),Accident Blackspot,High,Pedestrian Activity,Year-round,98,Watch for cyclists [6],
A2 Colombo-Galle (KM 48-50),Flash Flood,Medium,River Overflow,May-Jul (Monsoon),22,Bentota Ganga overflow risk [6],
A2 Colombo-Galle (KM 50-52),Accident Blackspot,High,Mixed Traffic,Year-round,105,Aluthgama zone; slow down [6],
A2 Colombo-Galle (KM 52-54),Accident Blackspot,High,Speeding,Year-round,92,Enforce speed limits [6],
A2 Colombo-Galle (KM 54-56),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),68,Slippery when wet [6],
A2 Colombo-Galle (KM 56-58),Accident Blackspot,High,Unregulated Access,Year-round,85,Watch for vehicles entering from by-lanes [6],
A2 Colombo-Galle (KM 58-60),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),15,Check for water pooling [6],
A3 Puttalam (KM 80-82),Flash Flood,High,River Overflow,Oct-Dec,45,High risk of road washout [8],
A3 Puttalam (KM 82-84),Accident Blackspot,Medium,Wet Surface,Oct-Dec,52,Slippery when wet [8],
A3 Puttalam (KM 84-86),Flash Flood,High,Basin Overflow,Oct-Dec,58,Total submersion risk; avoid in storms [8],
A3 Puttalam (KM 86-88),Accident Blackspot,High,High Speed,Year-round,75,Strict adherence to speed limits [9],
A3 Puttalam (KM 88-90),Flash Flood,High,Poor Drainage,Oct-Dec,42,Do not attempt to cross flooded dips [8],
A3 Puttalam (KM 90-92),Accident Blackspot,Medium,Straight Road,Year-round,65,Avoid highway hypnosis [9],
A3 Puttalam (KM 92-94),Flash Flood,Medium,Low Lying Area,Oct-Dec,28,Watch for shoulder flooding [8],
A3 Puttalam (KM 94-96),Accident Blackspot,High,Pedestrian Activity,Year-round,82,Watch for crossing pedestrians [9],
A3 Puttalam (KM 96-98),Flash Flood,High,River Overflow,Oct-Dec,55,Monitor DMC alerts [8],
A3 Puttalam (KM 98-100),Accident Blackspot,Medium,Complex Junction,Year-round,68,Follow lane markings [9],
A3 Puttalam (KM 100-102),Flash Flood,Medium,Seasonal Streams,Oct-Dec,32,Cross water slowly [8],
A3 Puttalam (KM 102-104),Accident Blackspot,High,Speeding,Year-round,88,Radar monitoring [9],
A3 Puttalam (KM 104-106),Flash Flood,High,Basin Overflow,Oct-Dec,62,High risk of road washout [8],
A3 Puttalam (KM 106-108),Accident Blackspot,Medium,Night Traffic,Year-round,58,Ensure proper vehicle lighting [9],
A3 Puttalam (KM 108-110),Flash Flood,High,Poor Drainage,Oct-Dec,48,Avoid in heavy downpours [8],
A3 Puttalam (KM 110-112),Accident Blackspot,High,Mixed Traffic,Year-round,72,Yield to heavy vehicles [9],
A3 Puttalam (KM 112-114),Flash Flood,Low,Coastal Inundation,Oct-Dec,15,Watch for standing water [8],
A3 Puttalam (KM 114-116),Accident Blackspot,Medium,Unpaved Edges,Year-round,45,Avoid shoulder driving [9],
A3 Puttalam (KM 116-118),Flash Flood,Medium,Low Lying Area,Oct-Dec,25,Check for water on road [8],
A3 Puttalam (KM 118-120),Accident Blackspot,High,Severe Congestion,Year-round,95,Puttalam town approach; slow down [9],
E02 Outer Circular (KM 0-2),Aquaplaning,High,Normal Curve,"""""May-Jul"," Oct-Dec""""",45,Follow variable message signs (VMS) [10]
E02 Outer Circular (KM 2-4),Accident Blackspot,Medium,Interchange Traffic,Year-round,52,Merge with extreme caution [10],
E02 Outer Circular (KM 4-6),Aquaplaning,High,Reverse Curve,"""""May-Jul"," Oct-Dec""""",68,Reduce speed below 80km/h in rain [10]
E02 Outer Circular (KM 6-8),Accident Blackspot,High,High Speed,Year-round,75,Avoid sudden lane changes [10],
E02 Outer Circular (KM 8-10),Aquaplaning,Medium,Surface Water,"""""May-Jul"," Oct-Dec""""",35,Avoid sudden braking on wet asphalt [10]
E02 Outer Circular (KM 10-12),Flash Flood,Low,Low Lying Area,May-Jul (Monsoon),8,Watch for shoulder flooding [10],
E02 Outer Circular (KM 12-14),Aquaplaning,High,Normal Curve,"""""May-Jul"," Oct-Dec""""",55,Do not use cruise control in the rain [10]
E02 Outer Circular (KM 14-16),Accident Blackspot,Medium,Driver Fatigue,Year-round,48,Maintain minimum following distance [10],
E02 Outer Circular (KM 16-18),Aquaplaning,High,Reverse Curve,"""""May-Jul"," Oct-Dec""""",72,Lane 2 highly susceptible to pooling [10]
E02 Outer Circular (KM 18-20),Accident Blackspot,High,High Speed,Year-round,82,Extreme caution required [10],
E02 Outer Circular (KM 20-22),Aquaplaning,Medium,Surface Water,"""""May-Jul"," Oct-Dec""""",42,Check tire tread depth [10]
E02 Outer Circular (KM 22-24),Flash Flood,Low,River Overflow,May-Jul (Monsoon),12,Kelani River basin overflow risk [10],
E02 Outer Circular (KM 24-26),Aquaplaning,High,Normal Curve,"""""May-Jul"," Oct-Dec""""",65,Reduce speed to 70km/h during storms [10]
E02 Outer Circular (KM 26-28),Accident Blackspot,Medium,Interchange Traffic,Year-round,58,Kadawata approach; slow down [10],
E03 Colombo-Katunayake (KM 0-2),Accident Blackspot,High,Interchange Traffic,Year-round,85,Peliyagoda approach; extreme caution [10],
E03 Colombo-Katunayake (KM 2-4),Aquaplaning,High,Surface Water,"""""May-Jul"," Oct-Dec""""",52,Do not overtake in heavy rain [10]
E03 Colombo-Katunayake (KM 4-6),Flash Flood,Medium,Low Lying Area,May-Jul (Monsoon),25,Muthurajawela marsh proximity [10],
E03 Colombo-Katunayake (KM 6-8),Accident Blackspot,Medium,High Speed,Year-round,65,Maintain following distance [10],
E03 Colombo-Katunayake (KM 8-10),Aquaplaning,High,Reverse Curve,"""""May-Jul"," Oct-Dec""""",75,80km/h maximum in rain [10]
E03 Colombo-Katunayake (KM 10-12),Accident Blackspot,High,Speeding,Year-round,92,Radar monitoring active [10],
E03 Colombo-Katunayake (KM 12-14),Aquaplaning,Medium,Normal Curve,"""""May-Jul"," Oct-Dec""""",48,Avoid sudden braking [10]
E03 Colombo-Katunayake (KM 14-16),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),15,Watch for standing water [10],
E03 Colombo-Katunayake (KM 16-18),Accident Blackspot,Medium,Driver Fatigue,Year-round,55,Airport traffic; stay alert [10],
E03 Colombo-Katunayake (KM 18-20),Aquaplaning,High,Reverse Curve,"""""May-Jul"," Oct-Dec""""",68,Significant cross-slope transition risk [10]
E03 Colombo-Katunayake (KM 20-22),Accident Blackspot,High,Interchange Traffic,Year-round,78,Katunayake exit; merge carefully [10],
A10 Katugastota-Puttalam (KM 0-2),Accident Blackspot,High,Urban Traffic,Year-round,65,Slow down in Katugastota [11],
A10 Katugastota-Puttalam (KM 2-4),Earthslip,Medium,Steep Gradient,May-Jul (Monsoon),14,Avoid shoulder parking,
A10 Katugastota-Puttalam (KM 4-6),Accident Blackspot,Medium,Complex Junction,Year-round,51,Maintain lane discipline,
A10 Katugastota-Puttalam (KM 6-8),Rock Fall,Low,Exposed Bedrock,May-Jul (Monsoon),9,Quick transit,
A10 Katugastota-Puttalam (KM 8-10),Accident Blackspot,High,Sharp Bend,Year-round,72,Use horn at blind spots,
A10 Katugastota-Puttalam (KM 10-12),Flash Flood,Medium,Poor Drainage,Oct-Dec,18,Avoid flooded dips,
A10 Katugastota-Puttalam (KM 12-14),Accident Blackspot,High,Speeding,Year-round,66,Radar monitoring active,
A10 Katugastota-Puttalam (KM 14-16),Earthslip,High,Saturated Slope,May-Jul (Monsoon),24,Monitor DMC alerts,
A10 Katugastota-Puttalam (KM 16-18),Accident Blackspot,Medium,Pedestrian Activity,Year-round,45,Watch for crossing pedestrians,
A10 Katugastota-Puttalam (KM 18-20),Flash Flood,Low,Low Lying Area,Oct-Dec,11,Watch for standing water,
A10 Katugastota-Puttalam (KM 20-22),Accident Blackspot,High,High Speed,Year-round,78,Do not overtake,
A10 Katugastota-Puttalam (KM 22-24),Earthslip,Medium,Deforestation,May-Jul (Monsoon),16,Observe for minor soil collapses,
A10 Katugastota-Puttalam (KM 24-26),Accident Blackspot,High,Severe Congestion,Year-round,88,Kurunegala approach; slow down,
A10 Katugastota-Puttalam (KM 26-28),Flash Flood,Medium,Retention Basin,Oct-Dec,21,High inundation risk,
A10 Katugastota-Puttalam (KM 28-30),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),39,Slippery when wet,
A10 Katugastota-Puttalam (KM 30-32),Elephant Crossing,Low,Wildlife Corridor,Year-round,14,Obey warning signs,
A10 Katugastota-Puttalam (KM 32-34),Accident Blackspot,High,Mixed Traffic,Year-round,67,Yield to heavy vehicles,
A10 Katugastota-Puttalam (KM 34-36),Flash Flood,Low,River Overflow,Oct-Dec,15,Watch for shoulder flooding,
A10 Katugastota-Puttalam (KM 36-38),Accident Blackspot,Medium,Driver Fatigue,Year-round,48,Avoid highway hypnosis,
A10 Katugastota-Puttalam (KM 38-40),Elephant Crossing,Medium,Proximity to Park,Year-round,31,Do not sound horn at elephants,
A10 Katugastota-Puttalam (KM 40-42),Accident Blackspot,High,Straight Road,Year-round,73,Strict speed control,
A10 Katugastota-Puttalam (KM 42-44),Flash Flood,High,Basin Overflow,Oct-Dec,44,Severe washout risk,
A10 Katugastota-Puttalam (KM 44-46),Accident Blackspot,Medium,Night Traffic,Year-round,52,Ensure proper vehicle lighting,
A10 Katugastota-Puttalam (KM 46-48),Elephant Crossing,High,Water Sources,Jul-Sep (Dry Season),68,Do not travel at dusk/dawn,
A10 Katugastota-Puttalam (KM 48-50),Accident Blackspot,High,Complex Junction,Year-round,81,Puttalam approach; caution,
A11 Habarana-Batticaloa (KM 0-2),Elephant Crossing,High,Wildlife Corridor,Year-round,105,Travel behind larger vehicles,
A11 Habarana-Batticaloa (KM 2-4),Accident Blackspot,Medium,High Speed,Year-round,45,Avoid sudden lane changes,
A11 Habarana-Batticaloa (KM 4-6),Elephant Crossing,High,Water Sources,Jul-Sep (Dry Season),125,Minneriya crossing; high risk,
A11 Habarana-Batticaloa (KM 6-8),Accident Blackspot,High,Night Traffic,Year-round,66,Night travel not recommended,
A11 Habarana-Batticaloa (KM 8-10),Elephant Crossing,High,Aggressive Behavior,Year-round,140,Never feed elephants [12],
A11 Habarana-Batticaloa (KM 10-12),Flash Flood,Low,Poor Drainage,Oct-Dec,18,Check for water on road,
A11 Habarana-Batticaloa (KM 12-14),Accident Blackspot,Medium,Straight Road,Year-round,55,Maintain safe speeds,
A11 Habarana-Batticaloa (KM 14-16),Elephant Crossing,High,Proximity to Park,Year-round,115,Keep windows closed; hide food,
A11 Habarana-Batticaloa (KM 16-18),Accident Blackspot,High,Speeding,Year-round,82,Radar monitoring active,
A11 Habarana-Batticaloa (KM 18-20),Elephant Crossing,Medium,Reserve Border,Year-round,74,Obey DWC signage,
A11 Habarana-Batticaloa (KM 20-22),Flash Flood,Medium,River Overflow,Oct-Dec,22,Do not cross flooded dips,
A11 Habarana-Batticaloa (KM 22-24),Accident Blackspot,Medium,Wet Surface,Oct-Dec,39,Slippery when wet,
A11 Habarana-Batticaloa (KM 24-26),Elephant Crossing,High,Wildlife Corridor,Year-round,135,Travel in convoys during daytime,
A11 Habarana-Batticaloa (KM 26-28),Accident Blackspot,High,Pedestrian Activity,Year-round,61,Watch for crossing pedestrians,
A11 Habarana-Batticaloa (KM 28-30),Elephant Crossing,High,Highway Blockage,Year-round,150,Pass quickly; watch for herds,
A11 Habarana-Batticaloa (KM 30-32),Flash Flood,Low,Low Lying Area,Oct-Dec,14,Watch for shoulder flooding,
A11 Habarana-Batticaloa (KM 32-34),Accident Blackspot,Medium,Driver Fatigue,Year-round,48,Take frequent breaks,
A11 Habarana-Batticaloa (KM 34-36),Elephant Crossing,Medium,Water Sources,Jul-Sep (Dry Season),88,Do not use horn against elephants,
A11 Habarana-Batticaloa (KM 36-38),Accident Blackspot,High,Unregulated Access,Year-round,75,Watch for entering vehicles,
A11 Habarana-Batticaloa (KM 38-40),Flash Flood,High,Basin Overflow,Oct-Dec,41,High inundation risk,
A11 Habarana-Batticaloa (KM 40-42),Elephant Crossing,High,Wildlife Corridor,Year-round,105,Do not travel at dusk/dawn,
A11 Habarana-Batticaloa (KM 42-44),Accident Blackspot,Medium,Complex Junction,Year-round,58,Follow lane markings,
A11 Habarana-Batticaloa (KM 44-46),Elephant Crossing,Medium,Proximity to Park,Year-round,62,Keep engine running if stopped,
A11 Habarana-Batticaloa (KM 46-48),Flash Flood,Medium,Poor Drainage,Oct-Dec,25,Cross water slowly,
A11 Habarana-Batticaloa (KM 48-50),Accident Blackspot,High,High Speed,Year-round,88,Batticaloa approach; extreme caution,
